id,cuisines[0],cuisines[1],cuisines[2],cuisines[3],cuisines[4]
2545,Japanese,Beverages,,,
2546,Beverages,Chinese,South Indian,Japanese,
2547,South Indian,North Indian,Mexican,Cold Drinks,
2548,Beverages,Cold Drinks,,,
2549,Italian,,,,
2550,Korean,,,,
2551,Cold Drinks,Korean,South Indian,North Indian,
2552,Beverages,Italian,North Indian,Cold Drinks,South Indian
2553,Beverages,Chinese,,,
2554,Italian,Korean,North Indian,Japanese,
2555,Chinese,Fast Food,Korean,North Indian,South Indian
2556,Cold Drinks,South Indian,Fast Food,,
2557,Mexican,Cold Drinks,North Indian,,
2558,South Indian,Fast Food,Beverages,Japanese,Mexican
2559,Mexican,North Indian,South Indian,Korean,Japanese
2560,Mexican,Beverages,North Indian,Fast Food,
2561,Italian,South Indian,,,
2562,Mexican,Italian,South Indian,Chinese,Japanese
2563,Chinese,Beverages,Korean,Fast Food,
2564,Italian,,,,
2565,Japanese,Italian,Mexican,Fast Food,
2566,South Indian,North Indian,Cold Drinks,Mexican,Italian
2567,Italian,,,,
2568,Japanese,Chinese,Korean,,
2569,North Indian,South Indian,Chinese,Mexican,Beverages
2570,Mexican,,,,
2571,Japanese,,,,
2572,Mexican,Italian,Cold Drinks,Korean,South Indian
2573,Fast Food,Japanese,South Indian,Mexican,Italian
2574,Japanese,Mexican,,,
2575,Mexican,Italian,Beverages,Cold Drinks,Fast Food
2576,North Indian,Cold Drinks,Mexican,,
2577,Mexican,South Indian,,,
2578,Fast Food,Cold Drinks,,,
2579,North Indian,Beverages,Italian,Chinese,Japanese
2580,Chinese,Beverages,North Indian,,
2581,Italian,Mexican,Fast Food,Japanese,Beverages
2582,South Indian,Italian,Cold Drinks,Mexican,Korean
2583,Beverages,Italian,South Indian,Korean,Cold Drinks
2584,North Indian,Cold Drinks,Chinese,South Indian,
2585,Mexican,North Indian,South Indian,,
2586,Chinese,,,,
2587,Cold Drinks,Beverages,Chinese,Japanese,Mexican
2588,Mexican,Italian,Beverages,Cold Drinks,Japanese
2589,Japanese,,,,
2590,Chinese,Cold Drinks,Beverages,,
2591,Korean,Beverages,Chinese,South Indian,
2592,Cold Drinks,Fast Food,,,
2593,Korean,Italian,Beverages,Fast Food,
2594,Italian,Beverages,Mexican,Cold Drinks,South Indian
2595,Cold Drinks,,,,
2596,Cold Drinks,Mexican,South Indian,Chinese,
2597,North Indian,Fast Food,Chinese,,
2598,Italian,Korean,North Indian,,
2599,Italian,South Indian,North Indian,Fast Food,Chinese
2600,Cold Drinks,Mexican,Beverages,Korean,
2601,Japanese,Italian,Fast Food,,
2602,Chinese,,,,
2603,Beverages,,,,
2604,Fast Food,Japanese,North Indian,Cold Drinks,
2605,South Indian,,,,
2606,Cold Drinks,Beverages,Italian,Fast Food,
2607,Korean,South Indian,Chinese,,
2608,North Indian,South Indian,,,
2609,Korean,Mexican,Japanese,Cold Drinks,North Indian
2610,Mexican,,,,
2611,Beverages,Italian,Japanese,,
2612,Chinese,Korean,Cold Drinks,,
2613,Cold Drinks,Japanese,,,
2614,Beverages,Cold Drinks,Japanese,,
2615,Cold Drinks,Beverages,,,
2616,Korean,,,,
2617,Japanese,Italian,South Indian,North Indian,
2618,Japanese,,,,
2619,Japanese,South Indian,North Indian,,
2620,Fast Food,Italian,South Indian,Cold Drinks,
2621,Chinese,Beverages,Fast Food,,
2622,Chinese,,,,
2623,Japanese,Cold Drinks,North Indian,,
2624,North Indian,Korean,,,
2625,North Indian,Fast Food,Beverages,Korean,
2626,Beverages,Japanese,North Indian,Mexican,South Indian
2627,Mexican,North Indian,Fast Food,Italian,Korean
2628,Cold Drinks,Japanese,Chinese,Korean,
2629,North Indian,Japanese,Cold Drinks,Fast Food,South Indian
2630,South Indian,Japanese,,,
2631,Mexican,,,,
2632,Japanese,Korean,Beverages,,
2633,Italian,South Indian,Japanese,Cold Drinks,Fast Food
2634,Fast Food,North Indian,Korean,South Indian,Chinese
2635,Chinese,South Indian,Italian,,
2636,Fast Food,Japanese,Italian,South Indian,
2637,Chinese,Mexican,Japanese,,
2638,South Indian,,,,
2639,Italian,Mexican,Korean,North Indian,Fast Food
2640,Cold Drinks,Beverages,,,
2641,Chinese,Korean,Italian,Japanese,
2642,North Indian,Chinese,,,
2643,Japanese,Italian,South Indian,Cold Drinks,
2644,Beverages,,,,
2645,Beverages,Korean,,,
2646,Fast Food,,,,
2647,Cold Drinks,Fast Food,,,
2648,North Indian,,,,
2649,Beverages,Mexican,,,
2650,Japanese,Korean,,,
2651,Cold Drinks,South Indian,Fast Food,Beverages,North Indian
2652,Mexican,Cold Drinks,Fast Food,Beverages,Chinese
2653,South Indian,North Indian,Cold Drinks,Fast Food,Japanese
2654,Japanese,Beverages,Cold Drinks,,
2655,Beverages,,,,
2656,Japanese,Italian,North Indian,,
2657,Fast Food,Japanese,,,
2658,Fast Food,,,,
2659,North Indian,Japanese,Cold Drinks,Mexican,
2660,Mexican,South Indian,Fast Food,Korean,Cold Drinks
2661,Fast Food,,,,
2662,Mexican,,,,
2663,Japanese,,,,
2664,Japanese,North Indian,,,
2665,Korean,Mexican,,,
2666,Fast Food,Italian,Mexican,North Indian,
2667,Italian,Korean,Chinese,Beverages,Fast Food
2668,Mexican,South Indian,Beverages,Cold Drinks,
2669,Mexican,Beverages,Fast Food,,
2670,Italian,Fast Food,South Indian,North Indian,Korean
2671,Italian,Beverages,North Indian,,
2672,South Indian,Italian,Fast Food,Mexican,
2673,Fast Food,Mexican,Beverages,,
2674,Fast Food,Italian,South Indian,Beverages,
2675,Italian,Cold Drinks,North Indian,Chinese,South Indian
2676,Cold Drinks,Mexican,Chinese,,
2677,North Indian,,,,
2678,Cold Drinks,Mexican,Korean,Chinese,
2679,South Indian,,,,
2680,Beverages,,,,
2681,Italian,,,,
2682,Italian,Cold Drinks,Beverages,South Indian,Chinese
2683,Chinese,Fast Food,South Indian,Mexican,
2684,Cold Drinks,Beverages,Korean,,
2685,Italian,Fast Food,,,
2686,South Indian,Italian,,,
2687,Japanese,Mexican,Korean,,
2688,Korean,Italian,Cold Drinks,North Indian,
2689,Japanese,North Indian,Cold Drinks,Beverages,Chinese
2690,Mexican,Japanese,,,
2691,Korean,North Indian,Japanese,,
2692,Japanese,Korean,,,
2693,Japanese,,,,
2694,Korean,South Indian,,,
2695,Chinese,Cold Drinks,Mexican,Italian,Korean
2696,Cold Drinks,Mexican,Japanese,,
2697,Chinese,Japanese,Mexican,,
2698,Beverages,Cold Drinks,Mexican,Fast Food,
2699,Italian,Chinese,Fast Food,Cold Drinks,
2700,Cold Drinks,Japanese,Fast Food,Beverages,
2701,North Indian,Italian,Chinese,Korean,
2702,Korean,South Indian,Cold Drinks,Japanese,
2703,Mexican,Italian,Fast Food,Korean,
2704,Chinese,Beverages,Korean,,
2705,Beverages,South Indian,,,
2706,Beverages,North Indian,Mexican,,
2707,South Indian,Korean,,,
2708,Cold Drinks,Fast Food,Chinese,South Indian,
2709,Fast Food,North Indian,Cold Drinks,South Indian,Japanese
2710,South Indian,Fast Food,,,
2711,North Indian,Cold Drinks,Korean,Mexican,South Indian
2712,Chinese,Beverages,Mexican,,
2713,Italian,Japanese,North Indian,Chinese,
2714,North Indian,Cold Drinks,,,
2715,Chinese,Cold Drinks,Mexican,Japanese,
2716,Fast Food,Chinese,,,
2717,Japanese,Beverages,North Indian,Mexican,Italian
2718,Cold Drinks,Japanese,Beverages,North Indian,Italian
2719,Beverages,Italian,Korean,North Indian,
2720,Mexican,Cold Drinks,Japanese,Fast Food,
2721,Cold Drinks,North Indian,Korean,South Indian,
2722,Chinese,Fast Food,South Indian,,
2723,North Indian,Fast Food,Mexican,Beverages,
2724,Beverages,Chinese,Fast Food,Japanese,
2725,Chinese,Mexican,Beverages,Italian,
2726,Mexican,North Indian,Beverages,,
2727,Japanese,South Indian,Chinese,Fast Food,North Indian
2728,Beverages,,,,
2729,Cold Drinks,Fast Food,,,
2730,Mexican,Korean,Cold Drinks,Japanese,
2731,Mexican,Chinese,,,
2732,Cold Drinks,,,,
2733,Mexican,,,,
2734,North Indian,,,,
2735,Fast Food,South Indian,,,
2736,Chinese,,,,
2737,Chinese,Italian,,,
2738,Italian,Chinese,Japanese,,
2739,Korean,Italian,South Indian,Cold Drinks,
2740,Italian,South Indian,Japanese,Korean,Fast Food
2741,North Indian,,,,
2742,Korean,,,,
2743,Chinese,Mexican,South Indian,Fast Food,Japanese
2744,Korean,Cold Drinks,Fast Food,Italian,Chinese
2745,South Indian,Japanese,,,
2746,Japanese,South Indian,Fast Food,,
2747,Korean,Italian,Mexican,,
2748,Japanese,Beverages,Korean,Italian,
2749,Beverages,North Indian,Chinese,Korean,
2750,Italian,Korean,Chinese,South Indian,Fast Food
2751,Korean,,,,
2752,Japanese,,,,
2753,Fast Food,,,,
2754,South Indian,,,,
2755,Cold Drinks,North Indian,,,
2756,Cold Drinks,Mexican,South Indian,,
2757,Fast Food,North Indian,Chinese,Japanese,
2758,Mexican,,,,
2759,Japanese,,,,
2760,Korean,Italian,Cold Drinks,South Indian,North Indian
2761,Mexican,Italian,North Indian,Chinese,
2762,Japanese,Cold Drinks,,,
2763,Chinese,Korean,Beverages,,
2764,Mexican,,,,
2765,Beverages,Fast Food,Cold Drinks,,
2766,Cold Drinks,,,,
2767,Korean,Beverages,Italian,Cold Drinks,
2768,Japanese,Fast Food,,,
2769,Korean,Cold Drinks,Japanese,,
2770,Korean,Beverages,Cold Drinks,Italian,
2771,Beverages,,,,
2772,Fast Food,South Indian,,,
2773,South Indian,Beverages,Korean,Chinese,Mexican
2774,Japanese,North Indian,Fast Food,Korean,South Indian
2775,Italian,Japanese,Korean,Beverages,North Indian
2776,Fast Food,Korean,Beverages,Mexican,
2777,Chinese,Cold Drinks,Italian,,
2778,Chinese,South Indian,,,
2779,Cold Drinks,,,,
2780,Beverages,Chinese,North Indian,Italian,
2781,South Indian,Japanese,,,
2782,Japanese,South Indian,Chinese,Fast Food,North Indian
2783,Italian,Beverages,,,
2784,North Indian,Chinese,Fast Food,Cold Drinks,Mexican
2785,Korean,Mexican,Italian,,
2786,Chinese,Italian,South Indian,North Indian,Mexican
2787,Cold Drinks,Korean,Beverages,Chinese,
2788,South Indian,Japanese,Fast Food,,
2789,Cold Drinks,,,,
2790,South Indian,Korean,Cold Drinks,Japanese,
2791,Italian,,,,
2792,Korean,Beverages,South Indian,North Indian,
2793,Chinese,Italian,Cold Drinks,Beverages,North Indian
2794,Korean,Fast Food,Japanese,Cold Drinks,
2795,Italian,Cold Drinks,,,
2796,North Indian,Cold Drinks,Mexican,,
2797,Mexican,Fast Food,,,
2798,Beverages,Cold Drinks,Italian,,
2799,Chinese,Italian,Beverages,Mexican,
2800,Japanese,Mexican,Italian,,
2801,Italian,,,,
2802,Japanese,Italian,,,
2803,Korean,Italian,South Indian,Mexican,North Indian
2804,Korean,Chinese,Mexican,,
2805,Beverages,Cold Drinks,Italian,South Indian,Fast Food
2806,Fast Food,Chinese,Korean,Beverages,Mexican
2807,Japanese,Cold Drinks,Korean,,
2808,Chinese,Korean,Italian,Japanese,
2809,Mexican,,,,
2810,Italian,Cold Drinks,Korean,,
2811,South Indian,North Indian,,,
2812,Beverages,North Indian,,,
2813,North Indian,Chinese,,,
2814,Italian,Japanese,Beverages,,
2815,Fast Food,Chinese,Cold Drinks,Japanese,Korean
2816,Cold Drinks,Beverages,North Indian,South Indian,Chinese
2817,Fast Food,,,,
2818,Chinese,,,,
2819,Mexican,Korean,Chinese,Beverages,Fast Food
2820,North Indian,Cold Drinks,Fast Food,,
2821,Italian,North Indian,Cold Drinks,Korean,Beverages
2822,Mexican,Italian,Japanese,Cold Drinks,
2823,Italian,South Indian,Japanese,North Indian,
2824,Chinese,Fast Food,,,
2825,Cold Drinks,Italian,Korean,South Indian,Fast Food
2826,Chinese,Italian,Korean,,
2827,North Indian,Korean,Italian,,
2828,Chinese,,,,
2829,Mexican,Fast Food,Italian,,
2830,North Indian,Japanese,South Indian,Korean,
2831,Japanese,Cold Drinks,Korean,South Indian,
2832,Mexican,Beverages,Chinese,,
2833,Japanese,Mexican,North Indian,South Indian,Beverages
2834,Italian,Cold Drinks,North Indian,,
2835,Japanese,,,,
2836,Beverages,Japanese,Mexican,Korean,Italian
2837,Mexican,North Indian,,,
2838,Beverages,Chinese,,,
2839,Beverages,Fast Food,Korean,South Indian,
2840,Beverages,,,,
2841,Mexican,,,,
2842,Mexican,,,,
2843,Chinese,Cold Drinks,,,
2844,North Indian,Cold Drinks,,,
2845,Chinese,South Indian,,,
2846,Mexican,South Indian,Chinese,Cold Drinks,Italian
2847,Japanese,Korean,Chinese,North Indian,Italian
2848,Italian,Chinese,Japanese,Beverages,Fast Food
2849,Japanese,Fast Food,,,
2850,Mexican,North Indian,Cold Drinks,Korean,
2851,Japanese,South Indian,Italian,Mexican,Cold Drinks
2852,Beverages,Japanese,,,
2853,Mexican,Japanese,,,
2854,Korean,Fast Food,,,
2855,Japanese,Italian,South Indian,Beverages,Cold Drinks
2856,Fast Food,Beverages,,,
2857,North Indian,Cold Drinks,,,
2858,Korean,Italian,Japanese,South Indian,Beverages
2859,South Indian,,,,
2860,Fast Food,Chinese,Beverages,Japanese,Italian
2861,South Indian,Cold Drinks,,,
2862,Japanese,Cold Drinks,Fast Food,South Indian,
2863,Korean,Beverages,South Indian,Fast Food,Italian
2864,North Indian,Italian,Fast Food,Chinese,South Indian
2865,Beverages,North Indian,,,
2866,Korean,Chinese,North Indian,Fast Food,
2867,Korean,North Indian,Italian,Chinese,South Indian
2868,Beverages,South Indian,Japanese,Korean,
2869,Chinese,Korean,,,
2870,Korean,,,,
2871,Chinese,South Indian,,,
2872,Chinese,Beverages,Mexican,Japanese,
2873,Italian,Beverages,Mexican,Korean,Cold Drinks
2874,Chinese,,,,
2875,Japanese,Chinese,,,
2876,Chinese,Japanese,Fast Food,,
2877,Italian,North Indian,,,
2878,Beverages,Korean,Japanese,Chinese,South Indian
2879,Cold Drinks,Fast Food,Japanese,,
2880,Chinese,,,,
2881,Beverages,South Indian,Korean,Fast Food,Mexican
2882,Japanese,Korean,Cold Drinks,Fast Food,Beverages
2883,Japanese,Beverages,Italian,Cold Drinks,South Indian
2884,Mexican,North Indian,Italian,,
2885,Chinese,,,,
2886,South Indian,Cold Drinks,Korean,,
2887,Cold Drinks,,,,
2888,Cold Drinks,,,,
2889,North Indian,,,,
2890,Beverages,South Indian,Japanese,,
2891,Cold Drinks,Chinese,Fast Food,North Indian,Mexican
2892,South Indian,Mexican,Italian,North Indian,
2893,Japanese,,,,
2894,Korean,South Indian,Japanese,Fast Food,
2895,Japanese,South Indian,,,
2896,Chinese,North Indian,South Indian,Fast Food,
2897,Japanese,Chinese,Mexican,Korean,
2898,Chinese,North Indian,,,
2899,North Indian,Chinese,,,
2900,Cold Drinks,Beverages,South Indian,,
2901,Beverages,Cold Drinks,Chinese,,
2902,Cold Drinks,Italian,Korean,Fast Food,
2903,Korean,Chinese,Beverages,,
2904,Mexican,Japanese,Fast Food,Cold Drinks,North Indian
2905,Chinese,Mexican,,,
2906,Mexican,,,,
2907,Mexican,,,,
2908,Fast Food,Chinese,,,
2909,South Indian,,,,
2910,Korean,Fast Food,Mexican,,
2911,Italian,Chinese,Korean,,
2912,Italian,Chinese,Japanese,,
2913,Chinese,,,,
2914,Italian,North Indian,Japanese,Beverages,
2915,North Indian,,,,
2916,South Indian,Beverages,Italian,Cold Drinks,Mexican
2917,Mexican,,,,
2918,Italian,Korean,,,
2919,Mexican,North Indian,South Indian,Japanese,Chinese
2920,Italian,Fast Food,,,
2921,Japanese,Italian,South Indian,Fast Food,
2922,Cold Drinks,Fast Food,Korean,,
2923,Cold Drinks,Korean,Japanese,Fast Food,Chinese
2924,Mexican,Cold Drinks,Chinese,Fast Food,North Indian
2925,Korean,Fast Food,North Indian,Chinese,
2926,North Indian,Japanese,Mexican,Fast Food,
2927,Italian,,,,
2928,Italian,,,,
2929,Fast Food,Korean,Japanese,,
2930,Fast Food,Italian,North Indian,South Indian,Mexican
2931,Korean,South Indian,Fast Food,,
2932,Mexican,Chinese,Cold Drinks,North Indian,Japanese
2933,Japanese,North Indian,South Indian,Fast Food,
2934,Fast Food,North Indian,,,
2935,Mexican,Japanese,South Indian,Korean,Chinese
2936,North Indian,Cold Drinks,,,
2937,Beverages,,,,
2938,Chinese,Fast Food,North Indian,Korean,Italian
2939,Italian,Fast Food,,,
2940,Chinese,Korean,Beverages,South Indian,
2941,South Indian,Japanese,Chinese,,
2942,Chinese,,,,
2943,South Indian,Fast Food,Cold Drinks,North Indian,Korean
2944,Cold Drinks,Beverages,North Indian,Japanese,
2945,Fast Food,Japanese,Mexican,Beverages,South Indian
2946,Italian,Fast Food,Cold Drinks,Chinese,Korean
2947,North Indian,Mexican,South Indian,,
2948,Italian,Cold Drinks,Korean,North Indian,Chinese
2949,Japanese,,,,
2950,Fast Food,,,,
2951,North Indian,Japanese,Chinese,,
2952,Fast Food,Italian,,,
2953,Chinese,South Indian,Japanese,Mexican,Beverages
2954,Italian,Korean,,,
2955,Chinese,Japanese,Italian,,
2956,South Indian,North Indian,Chinese,Japanese,
2957,Japanese,,,,
2958,Italian,,,,
2959,Chinese,South Indian,Beverages,,
2960,Beverages,Fast Food,Mexican,,
2961,Italian,Fast Food,Beverages,Japanese,
2962,Mexican,Fast Food,Japanese,Beverages,
2963,South Indian,Beverages,Korean,,
2964,Italian,Fast Food,Mexican,,
2965,Italian,Cold Drinks,South Indian,Fast Food,Japanese
2966,South Indian,Japanese,Italian,,
2967,North Indian,South Indian,Cold Drinks,,
2968,Beverages,Italian,South Indian,Mexican,North Indian
2969,Fast Food,North Indian,Mexican,Beverages,South Indian
2970,South Indian,Mexican,North Indian,Fast Food,Italian
2971,Mexican,,,,
2972,Japanese,Beverages,Mexican,Cold Drinks,
2973,Beverages,,,,
2974,North Indian,Italian,Mexican,,
2975,Chinese,South Indian,,,
2976,South Indian,Japanese,Beverages,Chinese,Korean
2977,Fast Food,Italian,Japanese,Chinese,
2978,Beverages,Italian,South Indian,Chinese,Mexican
2979,Cold Drinks,,,,
2980,Mexican,,,,
2981,Korean,South Indian,Fast Food,Mexican,Beverages
2982,South Indian,Japanese,Cold Drinks,Fast Food,
2983,Cold Drinks,North Indian,Mexican,South Indian,Beverages
2984,Chinese,Italian,,,
2985,Beverages,South Indian,Italian,,
2986,Japanese,,,,
2987,Cold Drinks,,,,
2988,North Indian,Cold Drinks,Mexican,Korean,Chinese
2989,Fast Food,,,,
2990,Chinese,Mexican,Beverages,South Indian,Korean
2991,Mexican,,,,
2992,Cold Drinks,South Indian,Italian,,
2993,Beverages,Chinese,,,
2994,Fast Food,,,,
2995,Fast Food,,,,
2996,Fast Food,,,,
2997,Japanese,Italian,Cold Drinks,Beverages,Korean
2998,Korean,South Indian,Chinese,Mexican,Beverages
2999,Chinese,Mexican,Korean,Fast Food,
3000,Korean,North Indian,South Indian,,
3001,Fast Food,Italian,Korean,,
3002,Chinese,Japanese,Italian,,
3003,Japanese,Italian,,,
3004,South Indian,Korean,North Indian,,
3005,South Indian,Beverages,Chinese,Fast Food,Korean
3006,South Indian,Chinese,Italian,,
3007,Japanese,Italian,,,
3008,Beverages,,,,
3009,Korean,Cold Drinks,Italian,Japanese,South Indian
3010,Fast Food,,,,
3011,Fast Food,,,,
3012,Korean,Mexican,Beverages,,
3013,Italian,North Indian,Chinese,Cold Drinks,South Indian
3014,South Indian,Chinese,North Indian,Fast Food,
3015,Chinese,,,,
3016,Korean,Japanese,South Indian,,
3017,Chinese,Korean,Japanese,,
3018,North Indian,,,,
3019,Fast Food,Chinese,Cold Drinks,,
3020,Italian,North Indian,,,
3021,Italian,South Indian,,,
3022,Mexican,North Indian,Beverages,Japanese,South Indian
3023,South Indian,,,,
3024,Mexican,Korean,Chinese,,
3025,South Indian,Chinese,,,
3026,Italian,South Indian,Cold Drinks,North Indian,Chinese
3027,Japanese,,,,
3028,South Indian,Fast Food,,,
3029,Italian,Chinese,South Indian,Fast Food,North Indian
3030,Italian,North Indian,Cold Drinks,Chinese,Mexican
3031,Fast Food,,,,
3032,Korean,Japanese,Italian,,
3033,Chinese,Beverages,,,
3034,Fast Food,Italian,Mexican,,
3035,Beverages,Japanese,Chinese,,
3036,Italian,Mexican,,,
3037,Mexican,Beverages,Cold Drinks,,
3038,North Indian,Chinese,Italian,,
3039,Italian,,,,
3040,Chinese,Japanese,Korean,South Indian,
3041,Japanese,Fast Food,Chinese,,
3042,Italian,,,,
3043,Japanese,North Indian,South Indian,,
3044,South Indian,,,,
3045,Mexican,Korean,Chinese,Fast Food,
3046,Fast Food,,,,
3047,Japanese,Korean,South Indian,Beverages,Fast Food
3048,Italian,,,,
3049,Mexican,Chinese,Fast Food,,
3050,North Indian,South Indian,Japanese,,
3051,North Indian,Chinese,Mexican,,
3052,Korean,Mexican,Cold Drinks,,
3053,Mexican,Beverages,Fast Food,Cold Drinks,
3054,Italian,,,,
3055,Mexican,Korean,,,
3056,Mexican,South Indian,,,
3057,Mexican,North Indian,South Indian,,
3058,Mexican,,,,
3059,Korean,Mexican,Cold Drinks,Italian,
3060,Chinese,Beverages,,,
3061,Fast Food,,,,
3062,Italian,,,,
3063,Cold Drinks,North Indian,,,
3064,South Indian,Chinese,,,
3065,Japanese,Beverages,South Indian,Fast Food,
3066,Chinese,Japanese,,,
3067,Chinese,Beverages,Cold Drinks,Japanese,
3068,Mexican,,,,
3069,North Indian,,,,
3070,Fast Food,Japanese,Chinese,Cold Drinks,South Indian
3071,South Indian,Chinese,,,
3072,Japanese,South Indian,North Indian,Korean,Italian
3073,Korean,Italian,,,
3074,Japanese,,,,
3075,Korean,,,,
3076,North Indian,Cold Drinks,Japanese,,
3077,Italian,,,,
3078,Mexican,Beverages,Chinese,Cold Drinks,
3079,Chinese,,,,
3080,Italian,Japanese,Fast Food,North Indian,South Indian
3081,Chinese,Beverages,Japanese,,
3082,Mexican,Korean,Japanese,,
3083,Korean,,,,
3084,Beverages,Korean,,,
3085,Mexican,Fast Food,Japanese,Italian,Beverages
3086,Korean,Beverages,South Indian,,
3087,Beverages,Chinese,Cold Drinks,Mexican,
3088,Cold Drinks,Fast Food,Korean,Japanese,Beverages
3089,Mexican,,,,
3090,Chinese,South Indian,,,
3091,Beverages,Cold Drinks,Fast Food,Mexican,North Indian
3092,Korean,South Indian,Japanese,North Indian,
3093,Beverages,North Indian,Korean,,
3094,Beverages,North Indian,Italian,Korean,South Indian
3095,Chinese,,,,
3096,Mexican,North Indian,Chinese,Japanese,Fast Food
3097,North Indian,,,,
3098,North Indian,Mexican,,,
3099,North Indian,Chinese,Cold Drinks,Korean,
3100,Fast Food,Cold Drinks,Chinese,Korean,Italian
3101,Italian,Cold Drinks,South Indian,,
3102,Beverages,,,,
3103,Korean,Cold Drinks,Italian,Fast Food,North Indian
3104,Chinese,North Indian,Fast Food,,
